央视,#genre#
广东卫视_8M1080_易视腾,http://168.138.9.147:50001/1000000001000014176/ystenlive/index.m3u8
广东卫视_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265034/ystenlive/index.m3u8
广东卫视_4M1080_百视通,http://168.138.9.147:50001/5000000010000030417/bestzb/index.m3u8
广东卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000001000028357/ystenlive/index.m3u8
广东珠江_2.5M720_湖南bblive,http://168.138.9.147:50001/2000000003000000033/hnbblive/index.m3u8
广东珠江_2.5M720_易视腾,http://168.138.9.147:50001/1000000004000011655/ystenlive/index.m3u8
广西卫视_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031118/bestzb/index.m3u8
广西卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000002000019837/ystenlive/index.m3u8
广西卫视_4M540_百视通,http://168.138.9.147:50001/5000000006000040014/bestzb/index.m3u8
贵州卫视_8M1080_百视通,http://168.138.9.147:50001/5000000004000025843/bestzb/index.m3u8
贵州卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000002000003169/ystenlive/index.m3u8
海南卫视_8M1080_百视通,http://168.138.9.147:50001/5000000004000006211/bestzb/index.m3u8
海南卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000002000023773/ystenlive/index.m3u8
河北卫视_8M1080_百视通,http://168.138.9.147:50001/5000000006000040016/bestzb/index.m3u8
河北卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000002000017118/ystenlive/index.m3u8
河南卫视_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031119/bestzb/index.m3u8
河南卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000002000027731/ystenlive/index.m3u8
河南卫视_4M720_百视通,http://168.138.9.147:50001/5000000005000017925/bestzb/index.m3u8
黑龙江卫视_8M1080_华数,http://168.138.9.147:50001/6000000001000016510/wasusyt/index.m3u8
黑龙江卫视_8M1080_易视腾,http://168.138.9.147:50001/1000000001000001925/ystenlive/index.m3u8
黑龙江卫视_6.8M1080_百视通,http://168.138.9.147:50001/5000000004000025203/bestzb/index.m3u8
黑龙江卫视_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265029/ystenlive/index.m3u8
黑龙江卫视_4M1080_百视通,http://168.138.9.147:50001/5000000010000031107/bestzb/index.m3u8
黑龙江卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000001000009082/ystenlive/index.m3u8
湖北卫视_8M1080_华数,http://168.138.9.147:50001/6000000001000015436/wasusyt/index.m3u8
湖北卫视_8M1080_易视腾,http://168.138.9.147:50001/1000000001000024621/ystenlive/index.m3u8
湖北卫视_6.8M1080_百视通,http://168.138.9.147:50001/5000000004000014954/bestzb/index.m3u8
湖北卫视_5.5M1080HEVC_易视腾,http://168.138.9.147:50001/1000000005000265023/ystenlive/index.m3u8
湖北卫视_4M1080_百视通,http://168.138.9.147:50001/5000000010000022140/bestzb/index.m3u8
湖北卫视_4M1080_易视腾,http://168.138.9.147:50001/1000000001000010355/ystenlive/index.m3u8
湖南茶频道_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031209/bestzb/index.m3u8
湖南茶频道_6.8M1080_湖南bblive,http://168.138.9.147:50001/2000000002000000070/hnbblive/index.m3u8
湖南金鹰纪实_6.8M1080_百视通,http://168.138.9.147:50001/5000000011000031203/bestzb/index.m3u8
